geometry_id,metro,train,bus,taxi,bike,car,car_passenger,bicycle,walk,other
E02003719,4,82,444,16,63,1923,171,1430,510,19
E02003720,7,113,294,22,62,1497,139,1496,614,27
E02003721,4,123,291,26,54,1830,155,1633,557,28
E02003722,9,212,212,12,27,1402,79,1673,729,22
E02003723,15,129,121,10,14,712,50,949,510,14
E02003724,8,158,463,30,71,2049,234,1454,555,26
E02003725,24,297,174,10,15,812,49,1362,1068,38
E02003726,11,436,213,11,14,843,58,1367,1189,24
E02003727,13,396,281,16,33,1505,146,1824,1069,25
E02003728,6,279,341,23,36,1611,163,1434,738,25
E02003729,6,143,546,22,54,1992,217,1021,350,24
E02003730,9,274,255,7,22,1299,83,1070,578,29
E02003731,20,270,227,10,39,1335,125,1042,922,28
E01017975,1,6,80,2,15,289,26,229,62,3
E01017976,0,19,73,3,6,387,33,313,104,2
E01017977,2,21,72,3,14,328,26,287,112,2
E01017978,1,10,87,5,12,306,24,224,74,3
E01017979,0,15,78,3,5,336,34,223,90,6
E01017980,0,11,54,0,11,277,28,154,68,3
E01017949,2,25,42,4,8,240,24,299,190,8
E01017950,4,32,28,1,5,181,8,279,145,4
E01017951,0,23,62,5,19,286,22,236,55,6
E01017952,0,8,56,8,10,286,36,195,66,4
E01017953,1,10,49,4,2,243,20,271,99,2
E01017954,0,15,57,0,18,261,29,216,59,3
E01017971,0,17,62,8,10,313,38,243,107,6
E01017972,1,21,39,1,11,328,30,288,54,6
E01017973,1,15,49,8,11,316,26,274,102,5
E01017974,0,19,66,7,11,346,29,322,106,5
E01032792,1,39,30,2,2,282,12,261,92,2
E01032802,1,12,45,0,9,245,20,245,96,4
E01018006,0,33,47,4,6,353,15,326,128,3
E01018007,2,34,22,2,4,295,16,326,79,1
E01018008,1,59,39,2,5,250,14,326,109,4
E01018009,5,31,57,2,6,236,19,331,204,5
E01018010,1,55,47,2,6,268,15,364,209,9
E01017955,1,33,29,3,7,257,23,296,68,5
E01017956,3,39,20,3,2,190,6,227,74,2
E01017957,5,27,34,1,4,187,8,197,134,1
E01017958,6,30,38,3,1,78,13,229,234,6
E01017943,1,67,62,2,5,311,35,312,194,5
E01017944,0,17,70,4,13,353,35,187,49,1
E01017945,4,33,72,5,10,323,36,350,124,5
E01017946,0,28,70,9,10,304,35,198,83,3
E01017947,1,10,89,5,17,370,44,226,65,9
E01017948,2,3,100,5,16,388,49,181,40,3
E01017983,6,78,60,3,4,229,9,293,277,7
E01017984,3,59,19,2,5,153,6,274,103,2
E01017985,4,71,21,2,2,189,9,306,143,7
E01017986,4,25,21,1,1,88,9,188,166,9
E01032797,7,64,53,2,3,153,16,301,379,13
E01017987,3,125,44,1,2,160,12,259,242,4
E01017988,2,89,31,4,4,131,7,255,236,8
E01017989,2,89,69,3,3,278,19,395,320,5
E01017990,3,81,40,0,3,148,9,299,160,4
E01017991,1,52,29,3,2,126,11,159,231,3
E01017997,3,74,58,9,14,440,46,433,220,5
E01017998,2,93,54,0,3,258,22,346,239,5
E01017999,3,42,49,2,7,295,34,323,169,4
E01018000,2,91,64,2,4,262,26,365,212,4
E01018001,3,96,56,3,5,250,18,357,229,7
E01017965,2,45,47,4,3,249,38,283,132,4
E01017966,2,126,100,6,14,475,30,408,264,10
E01017967,0,38,61,10,7,276,34,271,136,5
E01017968,2,34,64,2,7,276,28,235,122,5
E01017969,0,36,69,1,5,335,33,237,84,1
E01017959,4,39,115,3,2,365,42,220,89,5
E01017960,0,15,94,4,8,287,37,123,62,3
E01017961,0,22,80,2,8,261,36,140,53,2
E01017962,1,25,89,6,14,387,37,181,50,7
E01017963,1,19,110,4,17,383,30,184,46,2
E01017964,0,23,58,3,5,309,35,173,50,5
E01018002,2,32,67,1,3,333,22,265,82,7
E01018003,1,34,71,1,7,355,15,235,55,2
E01018005,2,65,46,0,3,182,15,195,248,9
E01032794,0,51,27,1,0,185,16,166,75,6
E01032795,4,92,44,4,9,244,15,209,118,5
E01017992,4,44,62,1,12,300,34,262,161,9
E01017993,7,70,35,2,6,299,19,164,457,10
E01017994,1,24,63,5,12,305,32,221,91,2
E01017995,5,39,33,1,4,257,15,178,106,2
E01017996,3,93,34,1,5,174,25,217,107,5
